1, 'HATOR Quasar 2 PRO wireless Black/Orange (HTM560BO)', 2999, 120, 228, 1, 59, 118, 62, 39, 'Max Sensitivity: 26 000 DPI', 'https://hator.gg/wp-content/uploads/products/mice/quasar-2-pro-wireless/quasar-2-pro-wireless-1.jpg', 1, 1,
2, 'HATOR Pulsar 2 Yellow (HTM-512)', 899, 69, 420, 1, 69, 123, 68, 38 , 'Max Sensitivity: 6 200 DPI', 'https://hator.gg/wp-content/uploads/products/mice/pulsar-2/original/pulsar-2-black_2.png', 1, 1,
3, 'HATOR Pulsar 2 Pro Wireless Lilac (HTM-534)', 2399, 111, 117, 1, 84, 123, 68, 38, 'Max Sensitivity: 16 000 DPI', 'https://hator.gg/wp-content/uploads/products/mice/pulsar-2-pro-wireless/original/pulsar-2-pro-wireless-black_2.png', 1, NULL,
4, 'HATOR Stellar PRO Black (HTM-540)', 1299, 22, 55, 1, 47, 116, 60, 36, 'Max Sensitivity: 16 000 DPI', 'https://hator.gg/wp-content/uploads/products/mice/stellar-pro/original/stellar-pro-black_2.png', 1, 2,
5, 'PRO X SUPERLIGHT 2 DEX', 6560, 220, 1005, 1, 60, 125.8, 67.7, 43.9, 'Max Sensitivity: 44 000 DPI', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTedz2P1bHw7z3Iin7JZ1Tf-idGeLQn3cacNg&s', 3, NULL,
6, 'G502 X PLUS GAMING MOUSE', 6560, 120, 840, 1, 106, 130, 41, 131, 'Max Sensitivity: 25 600 DPI', 'https://content.rozetka.com.ua/goods/images/big/284706945.jpg', 3, 3,
7, 'G309 LIGHTSPEED', 3300, 55, 144, 1, 86, 120, 64, 39, 'Max Sensitivity: 25 600 DPI', 'https://touch.com.ua/upload/resize_cache/webp/resize_cache/iblock/a06/500_500_1/ichybzp7allpg3p0jkt0o20ici73marj.webp', 3, NULL,
8, 'Razer Basilisk V3 Pro 35K - Black', 6560, 55, 111, 1, 112, 130, 75, 42.5, 'Max Sensitivity: 35 000 DPI', 'https://m.media-amazon.com/images/I/71a7g3vRXHL._AC_UF10001000_QL80_.jpg', 2, NULL,
9, 'Razer Cobra Pro + Mouse Dock Pro Bundle', 6999, 45, 110, 1, 77, 119.6, 62.6, 38.1, 'Max Sensitivity: 30 000 DPI', 'https://us.maxgaming.com/bilder/artiklar/zoom/27522_1.jpg?m=1686734822', 2, NULL,
10, 'Razer Viper V3 Pro - Black', 6600, 120, 228, 1, 54, 127.1, 63.9, 39.9, 'Max Sensitivity: 35 000 DPI', 'https://m.media-amazon.com/images/S/aplus-media-library-service-media/ba9c7810-0cdf-4ccf-968f-8b453375010e.png', 2, 4
